image_path,session_id,person_id,label,shoulder_angle,eye_shoulder_angle,eye_vertical_difference,nose_x_body,nose_y_body,eye_center_x_body,eye_center_y_body,left_ear_x_body,left_ear_y_body,nose_eye_dx,nose_eye_dy,eye_width_ratio,ear_eye_ratio,nose_shoulder_center_distance,eye_shoulder_center_distance,nose_shoulder_asymmetry,eye_shoulder_asymmetry,nose_ear_ratio
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0004.jpg,ss1,nguoi10,lean_right,-25.835922,11.916154,0.072542,0.373231,1.489079,0.204386,1.631199,-0.562167,1.165764,0.168845,-0.142120,0.351327,0.733362,1.535141,1.643954,0.231770,0.119017,0.989698
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0005.jpg,ss1,nguoi10,lean_right,-27.031029,9.530557,0.060749,0.465349,1.585892,0.299197,1.733807,-0.527961,1.275889,0.166152,-0.147915,0.366900,0.774868,1.652756,1.759433,0.270327,0.163740,1.040561
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0006.jpg,ss1,nguoi10,lean_right,-27.686583,3.831325,0.015680,0.414593,1.391119,0.256332,1.530419,-0.480087,1.186267,0.158261,-0.139301,0.234662,0.704770,1.451585,1.551738,0.271102,0.157413,0.917833
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0009.jpg,ss1,nguoi10,lean_right,-33.322411,-2.457778,-0.015355,0.855561,1.641376,0.704678,1.877435,-0.387651,1.594234,0.150884,-0.236059,0.358073,0.958652,1.850973,2.005326,0.449324,0.342138,1.244106
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0011.jpg,ss1,nguoi10,lean_right,-21.645241,14.581582,0.088747,0.128311,1.067422,0.020483,1.189360,-0.548246,0.866369,0.107828,-0.121938,0.352509,0.485956,1.075107,1.189536,0.108330,0.015875,0.705799
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0012.jpg,ss1,nguoi10,lean_right,-16.371460,9.608958,0.080375,0.271275,1.438288,0.131832,1.629872,-0.668416,1.249170,0.139443,-0.191583,0.481510,0.657855,1.463647,1.635195,0.175674,0.077117,0.958533
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0013.jpg,ss1,nguoi10,lean_right,-16.930071,6.052241,0.039061,0.447573,1.262580,0.315681,1.454217,-0.515535,1.199042,0.131892,-0.191637,0.370475,0.688587,1.339563,1.488086,0.314940,0.201506,0.965202
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0014.jpg,ss1,nguoi10,lean_right,-3.897897,0.996051,0.002894,0.417775,0.257783,0.398034,0.368002,-0.003127,0.440228,0.019741,-0.110219,0.166469,0.326363,0.490905,0.542085,0.682712,0.588643,0.458742
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0015.jpg,ss1,nguoi10,lean_right,-4.215590,-0.543509,-0.001510,0.426329,0.259584,0.406758,0.372472,0.010383,0.457875,0.019571,-0.112888,0.159132,0.327926,0.499139,0.551532,0.692177,0.596312,0.460793
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0016.jpg,ss1,nguoi10,lean_right,-4.000075,-0.707327,-0.002014,0.435329,0.255326,0.417620,0.371761,0.020449,0.461809,0.017709,-0.116436,0.163111,0.327942,0.504681,0.559118,0.706164,0.609288,0.463423
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0017.jpg,ss1,nguoi10,lean_right,-2.843747,-3.606801,-0.013398,0.221973,0.255817,0.221507,0.373566,-0.110400,0.448310,0.000467,-0.117749,0.212979,0.235665,0.338696,0.434301,0.388144,0.346529,0.384090
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0018.jpg,ss1,nguoi10,lean_right,-1.396302,-2.527381,-0.009656,0.198526,0.238536,0.198240,0.362898,-0.121955,0.437827,0.000286,-0.124362,0.218972,0.222165,0.310342,0.413514,0.353702,0.314946,0.377392
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0019.jpg,ss1,nguoi10,lean_right,-0.616982,-4.349009,-0.016368,0.249897,0.225146,0.248473,0.349897,-0.107549,0.441875,0.001425,-0.124750,0.215849,0.262161,0.336362,0.429146,0.446452,0.395298,0.418019
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0020.jpg,ss1,nguoi10,lean_right,-0.249046,-5.369836,-0.020354,0.251667,0.246467,0.251028,0.375015,-0.114355,0.469685,0.000639,-0.128549,0.217498,0.270639,0.352253,0.451277,0.441164,0.389315,0.428717
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0021.jpg,ss1,nguoi10,lean_right,-1.046805,4.147270,0.012367,0.320317,0.256790,0.296836,0.365853,-0.094337,0.427495,0.023481,-0.109063,0.171001,0.313325,0.410541,0.471126,0.546158,0.458331,0.448417
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0022.jpg,ss1,nguoi10,lean_right,1.297169,-12.399892,-0.044067,0.259751,0.199384,0.277088,0.326272,-0.056071,0.488185,-0.017337,-0.126888,0.205219,0.271714,0.327452,0.428055,0.473270,0.447655,0.427959
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0023.jpg,ss1,nguoi10,lean_right,-2.593633,5.980000,0.017986,0.301321,0.249632,0.273300,0.360906,-0.143547,0.427532,0.028021,-0.111274,0.172645,0.339523,0.391293,0.452710,0.520260,0.427174,0.479120
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0024.jpg,ss1,nguoi10,lean_right,0.587088,-0.688763,-0.002104,0.312452,0.230579,0.302728,0.343860,-0.075706,0.456939,0.009724,-0.113281,0.174997,0.311764,0.388321,0.458131,0.547317,0.476847,0.449339
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0025.jpg,ss1,nguoi10,lean_right,-2.013201,-1.750114,-0.006867,0.156713,0.279358,0.153013,0.404130,-0.207227,0.481224,0.003701,-0.124772,0.224837,0.258587,0.320312,0.432128,0.271071,0.235294,0.416176
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0026.jpg,ss1,nguoi10,lean_right,0.662378,-5.176950,-0.018637,0.181109,0.258321,0.185106,0.376766,-0.137604,0.465830,-0.003998,-0.118446,0.206548,0.233873,0.315484,0.419782,0.318058,0.290841,0.380313
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0027.jpg,ss1,nguoi10,lean_right,-0.834994,-3.374745,-0.012180,0.193880,0.226800,0.195412,0.343192,-0.126385,0.430900,-0.001533,-0.116392,0.206905,0.233269,0.298375,0.394926,0.349022,0.316624,0.379772
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0028.jpg,ss1,nguoi10,lean_right,-0.842851,4.270391,0.012756,0.304417,0.220714,0.282310,0.328745,-0.086527,0.389129,0.022107,-0.108032,0.171302,0.291180,0.376011,0.433327,0.539245,0.454290,0.425677
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0029.jpg,ss1,nguoi10,lean_right,-2.309134,2.584487,0.007101,0.396629,0.229897,0.373907,0.337958,-0.020684,0.405306,0.022722,-0.108061,0.157483,0.323787,0.458440,0.504006,0.673565,0.576264,0.452679
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0030.jpg,ss1,nguoi10,lean_right,-2.106827,-1.860531,-0.005993,0.278821,0.195594,0.274514,0.307209,-0.076382,0.417683,0.004307,-0.111615,0.184586,0.280093,0.340585,0.411989,0.507748,0.452137,0.418919
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0031.jpg,ss1,nguoi10,lean_right,-2.189026,-2.572988,-0.009288,0.222812,0.217165,0.219855,0.333040,-0.106886,0.403207,0.002957,-0.115875,0.206906,0.232803,0.311137,0.399063,0.402603,0.357965,0.378566
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0032.jpg,ss1,nguoi10,lean_right,-0.677064,-4.937051,-0.017164,0.238330,0.147529,0.244782,0.258915,-0.085195,0.389970,-0.006452,-0.111386,0.199444,0.261128,0.280297,0.356308,0.452533,0.424948,0.404285
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0033.jpg,ss1,nguoi10,lean_right,-1.410322,-3.970889,-0.013844,0.238221,0.149492,0.242843,0.261060,-0.081705,0.382211,-0.004622,-0.111568,0.199920,0.252182,0.281242,0.356546,0.451748,0.420935,0.395614
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0034.jpg,ss1,nguoi10,lean_right,-1.850278,-2.951690,-0.010653,0.155719,0.208530,0.157235,0.319595,-0.148009,0.394394,-0.001516,-0.111064,0.206887,0.213554,0.260256,0.356179,0.285568,0.262174,0.356084
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0035.jpg,ss1,nguoi10,lean_right,-12.817440,-0.094549,-0.000417,0.281114,0.989819,0.193508,1.099668,-0.367693,0.890015,0.087605,-0.109848,0.252986,0.482715,1.028964,1.116564,0.247172,0.158505,0.656438
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0039.jpg,ss1,nguoi10,lean_right,-12.611930,-0.216898,-0.000989,0.244069,0.990651,0.158619,1.089857,-0.369956,0.849673,0.085450,-0.099207,0.261131,0.465122,1.020274,1.101340,0.215786,0.131335,0.630001
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0040.jpg,ss1,nguoi10,lean_right,-11.668034,1.543802,0.007125,0.198617,0.930145,0.125729,1.016388,-0.344775,0.773254,0.072888,-0.086243,0.264451,0.414560,0.951114,1.024135,0.185533,0.110450,0.565588
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0041.jpg,ss1,nguoi10,lean_right,-12.212112,2.418849,0.011366,0.202476,0.963485,0.122537,1.051711,-0.366801,0.793397,0.079940,-0.088225,0.269303,0.435557,0.984531,1.058825,0.184006,0.104753,0.594144
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0042.jpg,ss1,nguoi10,lean_right,-0.848110,-1.293414,-0.004432,0.196247,0.192592,0.193797,0.299389,-0.136039,0.382380,0.002450,-0.106797,0.196343,0.245366,0.274963,0.356639,0.362730,0.327393,0.382666
D:/BTL/repo/smart-posture-monitor/data/raw/lean_right/nguoi10_ss1/frame_0043.jpg,ss1,nguoi10,lean_right,-0.149450,0.624660,0.002032,0.236012,0.160342,0.230092,0.264235,-0.124047,0.359854,0.005920,-0.103894,0.186352,0.278286,0.285326,0.350375,0.444408,0.398720,0.411641
