params,mean_test_score,std_test_score,rank_test_score
"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 0.001}",0.6071303819799899,0.17012280268736263,1
"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 0.001}",0.5960070683296592,0.16786243691966587,2
"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 0.001}",0.5916301025099069,0.16422151121321144,3
"{'model__C': 1, 'model__class_weight': None, 'model__gamma': 0.001}",0.5914657780186348,0.1663703357418978,4
"{'model__C': 1, 'model__class_weight': None, 'model__gamma': 0.01}",0.5802004853922638,0.1227749604003899,5
"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.5776123749407114,0.13098727197334065,6
"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 0.1}",0.5772221818029527,0.11563931519100437,7
"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 0.01}",0.5757124811224021,0.16966336220924969,8
"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.5743634942111531,0.17148042748222747,9
"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 0.1}",0.5729705328464532,0.12334412651394826,10
"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.5648990459243006,0.12240870349954622,11
"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.5642962034379725,0.11587813283086172,12
"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 0.01}",0.5639156719322275,0.1233166675387878,13
"{'model__C': 1, 'model__class_weight': None, 'model__gamma': 'scale'}",0.5601253181381762,0.11322738908441027,14
"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 0.001}",0.5583585786895684,0.1454523394359057,15
"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale'}",0.5546609513401315,0.13071960938430635,16
"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.5544632709604796,0.13675367102411817,17
"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 0.001}",0.5537896378661341,0.1439253650576131,18
"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale'}",0.5387863158062137,0.1227101318248773,19
"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.5363160567884954,0.12793223875831272,20
"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.5354477813321779,0.13141882983479466,21
"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 0.01}",0.5327278171797047,0.13426124581517782,22
"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 0.001}",0.531342557024643,0.12123088873201181,23
"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.5275229196888016,0.09794283157862678,24
"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 'scale'}",0.5262767791418943,0.09871720367829317,25
"{'model__C': 1, 'model__class_weight': None, 'model__gamma': 0.1}",0.52516613147281,0.08885971162379733,26
"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 0.1}",0.5245329820618555,0.09441281329103744,27
"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 0.1}",0.5229148954451717,0.11118623007156124,28
"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 0.1}",0.5217627403838802,0.11159530875598511,29
"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 0.001}",0.5088949175782137,0.10049286020214396,30
"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 0.1}",0.4908628308565063,0.08863656862854742,31
"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 0.1}",0.4903259391487015,0.08826650708393034,32
